Nombre,Poblacion,Superficie (km2),Continente
Afganistán,42239854,652230,Asia
Albania,2832439,28748,Europa
Alemania,83294633,357022,Europa
Andorra,79824,468,Europa
Angola,35588987,1246700,África
Antigua y Barbuda,94298,442,América
Arabia Saudita,36408820,2149690,Asia
Argelia,44903225,2381741,África
Argentina,46044703,2780400,América
Australia,26177413,7692024,Oceanía
Austria,8956279,83871,Europa
Bahamas,409984,13878,América
Bangladés,171186372,147570,Asia
Barbados,281635,430,América
Bélgica,11685714,30528,Europa
Belice,412190,22966,América
Benín,13352864,112622,África
Bielorrusia,9208223,207600,Europa
Bolivia,12224110,1098581,América
Brasil,215313498,8515767,América
Bulgaria,6465000,110879,Europa
Canadá,38929902,9984670,América
Chile,19603733,756102,América
China,1412175000,9596961,Asia
Colombia,51874024,1141748,América
Corea del Sur,51628117,100210,Asia
Costa Rica,5180829,51100,América
Cuba,11212191,109884,América
Dinamarca,5903037,43094,Europa
Ecuador,18001000,256370,América
Egipto,110990103,1001450,África
España,47519628,505990,Europa
Estados Unidos,333287557,9833517,América
Filipinas,115559009,300000,Asia
Francia,67971311,551695,Europa
Grecia,10341277,131957,Europa
Guatemala,17608483,108889,América
Haití,11584996,27750,América
Honduras,10432415,112492,América
India,1417173173,3287263,Asia
Indonesia,275501339,1904569,Asia
Irlanda,5086962,70273,Europa
Israel,9550600,22072,Asia
Italia,58850717,301340,Europa
Jamaica,2827377,10991,América
Japón,125124989,377975,Asia
México,127504125,1964375,América
Nigeria,218541212,923768,África
Noruega,5457127,323802,Europa
Nueva Zelanda,5124100,268021,Oceanía
Países Bajos,17700982,41543,Europa
Panamá,4408581,75420,América
Paraguay,6780744,406752,América
Perú,34049588,1285216,América
Portugal,10379007,92090,Europa
Reino Unido,67081234,242495,Europa
Rusia,144236933,17098242,Europa/Asia
Sudáfrica,59893885,1221037,África
Suiza,8776619,41285,Europa
Tailandia,71601103,513120,Asia
Turquía,84979913,783562,Asia/Europa
Uruguay,3444263,176215,América
Venezuela,28301696,912050,América
Vietnam,98186856,331210,Asia